id,species,year,month,total_length_mm,weight_g,sampling_site,lat,lon,protective_regime,proximity_human_settlements,date
33220,Patella candei,1996,11,34.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33231,Patella candei,1996,11,34.00,"1,98",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33251,Patella candei,1996,11,34.00,"2,49",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33259,Patella candei,1996,11,34.00,"2,43",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33272,Patella candei,1996,11,34.00,"2,90",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
18,Patella aspera,1996,11,35.00,"5,14",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
21,Patella aspera,1996,11,35.00,"3,71",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
22,Patella aspera,1996,11,35.00,"3,7",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
27,Patella aspera,1996,11,35.00,"3,25",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
63,Patella aspera,1996,11,35.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
75,Patella aspera,1996,11,35.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
76,Patella aspera,1996,11,35.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
78,Patella aspera,1996,11,35.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
80,Patella aspera,1996,11,35.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
201,Patella aspera,1996,11,35.00,"3,75",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
268,Patella aspera,1996,11,35.00,"2,91",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
269,Patella aspera,1996,11,35.00,"2,75",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
32964,Patella candei,1996,11,35.00,"2,40",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
32966,Patella candei,1996,11,35.00,"2,29",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
32996,Patella candei,1996,11,35.00,"2,71",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33163,Patella candei,1996,11,35.00,"2,00",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33197,Patella candei,1996,11,35.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33203,Patella candei,1996,11,35.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33206,Patella candei,1996,11,35.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33216,Patella candei,1996,11,35.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33242,Patella candei,1996,11,35.00,"2,51",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
24,Patella aspera,1996,11,36.00,"4,25",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
70,Patella aspera,1996,11,36.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
71,Patella aspera,1996,11,36.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
121,Patella aspera,1996,11,36.00,"6,89",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
145,Patella aspera,1996,11,36.00,"3,52",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
199,Patella aspera,1996,11,36.00,"4,36",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
267,Patella aspera,1996,11,36.00,"5,19",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
278,Patella aspera,1996,11,36.00,"2,51",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
32994,Patella candei,1996,11,36.00,"2,56",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33008,Patella candei,1996,11,36.00,"3,06",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33010,Patella candei,1996,11,36.00,"3,27",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33011,Patella candei,1996,11,36.00,"2,96",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33013,Patella candei,1996,11,36.00,"2,70",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33091,Patella candei,1996,11,36.00,"4,04",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33102,Patella candei,1996,11,36.00,"3,56",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33184,Patella candei,1996,11,36.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33193,Patella candei,1996,11,36.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33194,Patella candei,1996,11,36.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33202,Patella candei,1996,11,36.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33235,Patella candei,1996,11,36.00,"2,35",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33243,Patella candei,1996,11,36.00,"3,04",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33289,Patella candei,1996,11,36.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
10,Patella aspera,1996,11,37.00,"6,08",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
25,Patella aspera,1996,11,37.00,"3,89",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
51,Patella aspera,1996,11,37.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
56,Patella aspera,1996,11,37.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
67,Patella aspera,1996,11,37.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
107,Patella aspera,1996,11,37.00,"4,7",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
108,Patella aspera,1996,11,37.00,"4,07",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
118,Patella aspera,1996,11,37.00,"5,08",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
143,Patella aspera,1996,11,37.00,"6,49",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
251,Patella aspera,1996,11,37.00,"5,18",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
284,Patella aspera,1996,11,37.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
32961,Patella candei,1996,11,37.00,"3,44",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
32962,Patella candei,1996,11,37.00,"3,50",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
32995,Patella candei,1996,11,37.00,"3,36",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
32997,Patella candei,1996,11,37.00,"2,72",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
32998,Patella candei,1996,11,37.00,"2,41",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33071,Patella candei,1996,11,37.00,"2,42",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33104,Patella candei,1996,11,37.00,"3,66",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33105,Patella candei,1996,11,37.00,"3,50",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33119,Patella candei,1996,11,37.00,"3,60",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33160,Patella candei,1996,11,37.00,"2,68",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33179,Patella candei,1996,11,37.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33279,Patella candei,1996,11,37.00,"3,17",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
16,Patella aspera,1996,11,38.00,"6,48",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
58,Patella aspera,1996,11,38.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
65,Patella aspera,1996,11,38.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
66,Patella aspera,1996,11,38.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
68,Patella aspera,1996,11,38.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
79,Patella aspera,1996,11,38.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
140,Patella aspera,1996,11,38.00,"3,84",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
239,Patella aspera,1996,11,38.00,"4,32",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
244,Patella aspera,1996,11,38.00,"2,89",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
246,Patella aspera,1996,11,38.00,"3,89",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
274,Patella aspera,1996,11,38.00,"4,6",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
281,Patella aspera,1996,11,38.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
32963,Patella candei,1996,11,38.00,"2,73",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
32992,Patella candei,1996,11,38.00,"3,61",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33009,Patella candei,1996,11,38.00,"2,82",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33049,Patella candei,1996,11,38.00,"2,46",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33050,Patella candei,1996,11,38.00,"3,04",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33051,Patella candei,1996,11,38.00,"2,64",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33097,Patella candei,1996,11,38.00,"3,55",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33159,Patella candei,1996,11,38.00,"3,10",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33195,Patella candei,1996,11,38.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33199,Patella candei,1996,11,38.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33201,Patella candei,1996,11,38.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33270,Patella candei,1996,11,38.00,"2,96",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33277,Patella candei,1996,11,38.00,"2,84",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
47,Patella aspera,1996,11,39.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
49,Patella aspera,1996,11,39.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
61,Patella aspera,1996,11,39.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
62,Patella aspera,1996,11,39.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
73,Patella aspera,1996,11,39.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
74,Patella aspera,1996,11,39.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
96,Patella aspera,1996,11,39.00,"6,94",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
103,Patella aspera,1996,11,39.00,"5,05",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
104,Patella aspera,1996,11,39.00,"5,74",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
105,Patella aspera,1996,11,39.00,"5,84",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
116,Patella aspera,1996,11,39.00,"3,77",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
117,Patella aspera,1996,11,39.00,"3,95",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
182,Patella aspera,1996,11,39.00,"5,12",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
187,Patella aspera,1996,11,39.00,"5,16",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
190,Patella aspera,1996,11,39.00,"4,37",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
196,Patella aspera,1996,11,39.00,"4,54",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
241,Patella aspera,1996,11,39.00,"4,75",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
256,Patella aspera,1996,11,39.00,"3,53",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
258,Patella aspera,1996,11,39.00,"6,91",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
262,Patella aspera,1996,11,39.00,"4,01",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
263,Patella aspera,1996,11,39.00,"3,74",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
266,Patella aspera,1996,11,39.00,"2,76",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33000,Patella candei,1996,11,39.00,"3,22",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33001,Patella candei,1996,11,39.00,"3,73",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33005,Patella candei,1996,11,39.00,"3,91",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33007,Patella candei,1996,11,39.00,"3,32",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33096,Patella candei,1996,11,39.00,"4,72",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33155,Patella candei,1996,11,39.00,"3,57",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33156,Patella candei,1996,11,39.00,"3,89",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33158,Patella candei,1996,11,39.00,"3,04",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33161,Patella candei,1996,11,39.00,"3,06",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33192,Patella candei,1996,11,39.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33196,Patella candei,1996,11,39.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
13,Patella aspera,1996,11,40.00,"4,09",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
17,Patella aspera,1996,11,40.00,"3,9",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
20,Patella aspera,1996,11,40.00,"4,5",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
46,Patella aspera,1996,11,40.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
52,Patella aspera,1996,11,40.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
106,Patella aspera,1996,11,40.00,"5,49",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
133,Patella aspera,1996,11,40.00,"6,03",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
135,Patella aspera,1996,11,40.00,"5,47",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
136,Patella aspera,1996,11,40.00,"6,77",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
142,Patella aspera,1996,11,40.00,"5,28",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
174,Patella aspera,1996,11,40.00,"6,16",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
197,Patella aspera,1996,11,40.00,"4,5",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
200,Patella aspera,1996,11,40.00,"4,48",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
237,Patella aspera,1996,11,40.00,"6,91",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
242,Patella aspera,1996,11,40.00,"4,64",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
245,Patella aspera,1996,11,40.00,"4,28",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
32955,Patella candei,1996,11,40.00,"3,51",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
32957,Patella candei,1996,11,40.00,"4,12",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
32959,Patella candei,1996,11,40.00,"4,13",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
32987,Patella candei,1996,11,40.00,"3,70",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
32988,Patella candei,1996,11,40.00,"4,27",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33006,Patella candei,1996,11,40.00,"3,17",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33069,Patella candei,1996,11,40.00,"3,08",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33093,Patella candei,1996,11,40.00,"5,19",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33095,Patella candei,1996,11,40.00,"4,55",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33121,Patella candei,1996,11,40.00,"3,77",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33122,Patella candei,1996,11,40.00,"4,20",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33162,Patella candei,1996,11,40.00,"3,88",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33164,Patella candei,1996,11,40.00,"3,21",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33165,Patella candei,1996,11,40.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33186,Patella candei,1996,11,40.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33208,Patella candei,1996,11,40.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33232,Patella candei,1996,11,40.00,"3,09",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33263,Patella candei,1996,11,40.00,"3,72",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
14,Patella aspera,1996,11,41.00,"4,47",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
19,Patella aspera,1996,11,41.00,"4,54",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
99,Patella aspera,1996,11,41.00,"5,96",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
113,Patella aspera,1996,11,41.00,"3,21",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
114,Patella aspera,1996,11,41.00,"3,46",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
115,Patella aspera,1996,11,41.00,"8,74",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
134,Patella aspera,1996,11,41.00,"7,8",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
137,Patella aspera,1996,11,41.00,"4,04",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
165,Patella aspera,1996,11,41.00,"6,16",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
173,Patella aspera,1996,11,41.00,"5,36",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
175,Patella aspera,1996,11,41.00,"6,78",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
193,Patella aspera,1996,11,41.00,"6,11",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
194,Patella aspera,1996,11,41.00,"5,74",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
214,Patella aspera,1996,11,41.00,"6,76",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
232,Patella aspera,1996,11,41.00,"4,69",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
233,Patella aspera,1996,11,41.00,"5,62",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
240,Patella aspera,1996,11,41.00,"6,45",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
253,Patella aspera,1996,11,41.00,"4,39",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
255,Patella aspera,1996,11,41.00,"5,59",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
273,Patella aspera,1996,11,41.00,"4,98",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
285,Patella aspera,1996,11,41.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
32954,Patella candei,1996,11,41.00,"3,97",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
32956,Patella candei,1996,11,41.00,"3,88",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
32958,Patella candei,1996,11,41.00,"4,25",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33003,Patella candei,1996,11,41.00,"3,86",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33041,Patella candei,1996,11,41.00,"4,22",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33087,Patella candei,1996,11,41.00,"6,39",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33094,Patella candei,1996,11,41.00,"4,12",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33103,Patella candei,1996,11,41.00,"4,66",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33110,Patella candei,1996,11,41.00,"5,32",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33152,Patella candei,1996,11,41.00,"5,48",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33157,Patella candei,1996,11,41.00,"4,16",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33178,Patella candei,1996,11,41.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33180,Patella candei,1996,11,41.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33209,Patella candei,1996,11,41.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33211,Patella candei,1996,11,41.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33212,Patella candei,1996,11,41.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33219,Patella candei,1996,11,41.00,,Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33224,Patella candei,1996,11,41.00,"3,22",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33225,Patella candei,1996,11,41.00,"2,92",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33233,Patella candei,1996,11,41.00,"3,42",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
33234,Patella candei,1996,11,41.00,"3,79",Porto Moniz,32.86388889,-17.16469444,Full acess,Near,11/1/96
