Individual_number,Species,Locality,Data,Year,Month,Total_length_mm,Weight_g,Sampling_site,Lat,Long,Protective_regime,Proximity_human_settlements,
15,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.89,2.11,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
16,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.05,2.02,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
17,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.94,2.52,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
18,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,20.24,2.54,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
19,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.52,2.32,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
20,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.53,2.03,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
21,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,17.93,1.75,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
22,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,17.46,1.54,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
23,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,24.48,5.79,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
24,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,22.49,3.54,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
25,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,24.85,5.63,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
26,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,20.48,3.18,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
27,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.97,2.01,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
28,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,22.14,3.76,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
29,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,21.9,3.64,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
30,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,22.45,3.65,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
31,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,20.61,2.85,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
32,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,20.63,3.03,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
33,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,23.77,5.6,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
34,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,22.97,4.07,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
35,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,23.12,5.08,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
36,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,21.88,3.58,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
37,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,21.38,3.99,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
38,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,20.63,3.42,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
39,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.83,2.49,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
40,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,22.17,3.84,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
41,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,20.96,3.46,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
42,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,21.92,3.82,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
43,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,20.63,3.44,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
44,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,20.86,2.89,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
45,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,23.83,4.88,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
46,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,20.81,3.1,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
47,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,22.85,4.67,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
48,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,21.53,3.63,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
49,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,20.79,2.78,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
50,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.41,2.24,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
51,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.17,1.89,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
52,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,20.17,2.58,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
53,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,15.81,1.47,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
54,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.95,2.44,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
55,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.6,2.41,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
56,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.57,2.21,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
57,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.16,2.25,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
58,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.37,2.66,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
59,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.28,2.3,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
60,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.8,2.34,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
61,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,16.99,1.63,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
62,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,17.86,1.76,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
63,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.72,2.54,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
64,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.4,2.31,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
65,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,13.94,0.98,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
66,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.94,2.43,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
67,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.68,3.39,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
68,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,20.52,2.55,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
69,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,21.65,3.74,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
70,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,17.62,1.82,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
71,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,21.1,3.19,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
72,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,22.98,4.36,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
73,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.47,2.53,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
74,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.08,2.33,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
75,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,20.26,3.03,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
76,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,21.5,3.58,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
77,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,22.95,4.09,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
78,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,22.32,4.1,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
79,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,20.57,3.55,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
80,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,20.1,2.96,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
81,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,21.5,3.66,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
82,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.62,2.54,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
83,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,21.14,3.89,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
84,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,17.11,1.79,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
85,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,20.23,3.23,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
86,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.1,2.39,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
87,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.18,2.43,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
88,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.93,2.77,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
89,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,22.7,3.76,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
90,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,21.4,3.34,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
91,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,20.01,2.68,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
92,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.72,2.5,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
93,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,20.87,3.71,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
94,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,21.05,3.02,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
95,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,20.15,2.97,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
96,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,21.89,3.32,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
97,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,20.15,3.21,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
98,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.97,2.28,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
99,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,22.1,4.31,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
100,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,22.62,4.48,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
101,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,22.3,4.03,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
102,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,21.84,3.92,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
103,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.46,2.45,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
104,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,20.81,3.3,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
105,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,22.31,4.33,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
106,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,21.06,3.35,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
107,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,23.61,4.69,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
108,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,21.59,4,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
109,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,21.15,3.2,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
110,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,21.31,3.07,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
111,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.45,2.05,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
112,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,20.41,2.86,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
113,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.91,2.77,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
114,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.95,2.51,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
115,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.16,2.25,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
116,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.26,1.96,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
117,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,17.26,1.64,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
118,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.44,2.04,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
119,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,17.73,1.88,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
120,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,17.63,1.9,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
121,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.53,2.27,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
122,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.48,2.21,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
123,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,24.07,4.36,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
124,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,21.53,3.42,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
125,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,21.26,3.11,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
126,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.77,2.24,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
127,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.55,2.65,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
128,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,20.01,2.78,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
129,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,22.01,4.18,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
130,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,23.03,4.58,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
131,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,21.75,3.82,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
132,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,21.06,3.47,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
133,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,21.35,3.39,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
134,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,22.19,4.46,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
135,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,20.64,2.96,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
136,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,20.45,2.82,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
137,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,21.7,3.87,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
138,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,23.29,5.12,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
139,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.01,2.28,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
140,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,20.23,2.95,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
141,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,20.06,2.82,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
142,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,20.19,2.6,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
143,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.84,2.57,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
144,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,21.54,3.68,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
145,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.93,3.45,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
146,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,20.63,2.66,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
147,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,17.83,1.96,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
148,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.2,2.64,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
149,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,22.54,3.98,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
150,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.88,2.59,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
151,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.23,2.5,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
152,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,21.74,3.72,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
153,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,20.57,3.08,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
154,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,17,1.87,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
155,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.79,2.84,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
156,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.69,2.52,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
157,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.34,2.62,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
158,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.58,2.19,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
159,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,18.83,2.28,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
160,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.27,2.79,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
161,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,23.27,4.61,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
162,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,13.36,0.88,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
163,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,12.29,0.39,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
164,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,11.06,0.4,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
165,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,11.79,0.45,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
166,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,13.27,0.66,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
167,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,12.23,0.57,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
168,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,12.33,0.55,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
169,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,12.12,0.54,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
170,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,14.29,0.72,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
171,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,12.16,0.52,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
172,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,13.08,0.68,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
173,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,17.24,1.36,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
174,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,19.13,2.26,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
175,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,10.9,0.35,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
176,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,14.62,0.95,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
177,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,11.17,0.44,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
178,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,11.39,0.46,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
179,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,7.73,0.13,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
180,Phorcus sauciatus,Canary Island,20/06/2017,2017,6,10.95,0.38,Gran Canaria,"28°01'54.0""N ","15°23'43.3""W",Full access,Far,
